Classificação;Segmento;Faixas de experiência;Dia da Semana;Dia;Mês;Ano;Hora;Descrição;Estado;Dias Perdidos;Dias Debitados;Reabilitado;Dias Perdidos Corrigidos;Agente Causador;Gravidade;Potencial;Grau de Risco;Compromissos (Regra de Ouro);Evento_Crítico_Target
Quase Acidente;Expansão;1 a 3 anos;Segunda - feira;30;10;2023;13:00 - 14:00;O  colaborador  ao realizar a desmontagem  de uma chapa de piso do painel    2SA1 - 380V (sala de comando) encostou uma ferramenta  metalica no barramento vindo a ocasionar  um curto circuito entre fase e terra (tensão de 380V).;SC;N/A;;;;Ferramenta Manual;;11;Médio;4 - Eletricidade;Não
Típico com afastamento;Geração - Térmica;Até 6 meses;Sexta-feira;22;9;2023;10:00 - 11:00;Colaborador estava retirando resíduos (óleo) de uma canaleta, quando a sua botina ficou presa no resíduo e o mesmo perdeu o equilibrio e escorregou, vindo a bater seu ombro direito no chão.;RS;15;;;;Escorregou/Desequilibrou;Médio;11;Médio;2 - Percepção de Risco;Não
Quase Acidente;Transmissão;Até 6 meses;Quarta - feira;20;12;2023;17:00 - 18:00;Ao sair da SE MIM, o condutor bateu o veiculo em uma das folhas do portão.;MS;N/A;;;;Carro - Colisão ;;15;Baixo;8 - Veículos e Equipamentos Móveis;Não
Típico com afastamento;Expansão;6 meses a 1 ano;Segunda - feira;16;12;2024;12:00- 13:00;Ao realizar movimentação manual de tampas de concreto de um local para o outri, relatou dor na região da verilha.;RS;22;-;Não;-;Transporte manual de carga;Médio;11;Médio;Outros;Não
Típico sem afastamento;Expansão;6 meses a 1 ano;Sexta-feira;12;1;2024;11:00 - 12:00;Empregado estava removendo a tinta da tampa auxiliar da UG 01 com lixadeira de 4 polegadas e escova rotativa. Ao parar a atividade, a escova permaneceu girando, em redução de velocidade, por inércia. O empregado não percebeu e, ao se aproximar, teve o dedo indicador da mão direita atingido.;BA;;0;Não;0;Ferramenta Manual;Baixo;15;Baixo;Outros;Não
Quase Acidente;CSC;1 a 3 anos;Sexta-feira;7;2;2025;12:00- 13:00;Os colaboradores estavam indo para o almoço de moto, sentido Tucuruí, quando o pneu traseiro da motocicleta estourou e veio a desiquilibrar e derrubar os dois.;PA;;;;;Moto - Queda;Baixo;15;Baixo;8 - Veículos e Equipamentos Móveis;Não
Quase Acidente;Logistica;1 a 3 anos;Quarta - feira;11;6;2025;16:00 - 17:00; O empregado terceirizado, durante a movimentação de fechamento de um portão de aproximadamente 6 metros de altura (portão aposto ao portão principal do Depósito 3), uma peça metálica com roldana do trilho superior do portão (peça com dimensões aproximadas de 10x6x4 cm e peso aproximado de 1,2 kg) se desprendeu e caiu, atingindo o capacete de segurança do empregado. O EPI absorveu o impacto, e não houve ferimentos.;BA;;;;;Atingido por (pontos agudos ou cortantes);;8;Alto;Outros;Sim
Típico sem afastamento;Logistica;6 meses a 1 ano;Quarta - feira;31;7;2025;09:00 - 10:00;O empregado terceirizado, enquanto realizava a substituição das embalagens de parafusos para bombonas no Depósito 03 do almoxarifado, sofreu uma lesão leve no pé esquerdo após um prego preso a um pedaço de pallet atravessar o solado da botina de segurança. ;BA;;;;;Atingido por (pontos agudos ou cortantes);Médio;9;Médio;2 - Percepção de Risco;Não
Típico sem afastamento;CSC;1 a 3 anos;Sexta - feira;1;8;2025;15:00 - 16:00;Durante o enceramento de piso, o colaborador escorregou em tapete, sofrendo uma queda e machucando a mão;SP;N/A;N/A;;N/A;Queda mesmo nível;Baixo;14;Baixo;2 - Percepção de Risco;Não
Quase Acidente;Expansão - Proj. Estrat.;6 meses a 1 ano;Quarta- feira;6;8;2025;09:00 - 10:00;"Durante atividade de limpeza da área de canteiro utilizando ferramentas manual, ao corta o galho foi atacado por ""Maribondo"", onde sofre três ferroadas.";MG;-;-;Não;-;Animal;Baixo;14;Baixo;11 - Não se Aplica;Não
