Classificação;Segmento;Faixas de experiência;Dia da Semana;Dia;Mês;Ano;Hora;Descrição;Estado;Dias Perdidos;Dias Debitados;Reabilitado;Dias Perdidos Corrigidos;Agente Causador;Gravidade;Potencial;Grau de Risco;Compromissos (Regra de Ouro);Evento_Crítico_Target
Quase Acidente;CSC;1 a 3 anos;Segunda - feira;2;9;2024;09:00 - 10:00;a equipe estava serrando partes metálicas de andaimes utilizando a lixadeira quando percebeu que uma fagulha deu início ao fogo no mato seco que estava próximo. A equipe tentou abafar o fogo mas ele se espalhou rapidamente (local aberto com muito vento). Os empregados terceirizados se afastaram por segurança e acionaram o Corpo de Bombeiros que chegou em torno de 20 minutos. ;BA;;;;;Incêndio;;15;Baixo;Outros;Não
Típico sem afastamento;Transmissão;6 meses a 1 ano;Domingo;3;3;2024;14:00 - 15:00;O empregado terceirizado estava realizando a atividade de substituição de cadeia de isoladores na estrutura 126/2 da linha 04L1, 230KV. A catraca de corrente (talha) estava posicionada adequadamente entre o estropo e a ferragem do lado terra. O eletricista manobrava a catraca para distensionar a cadeia, liberado-a para retirada. Durante a manobra, a catraca girou e atingiu um dedo da mão esquerda do profissional, que estava apoiada num isolador, gerando um corte na sua extremidade. No momento do acidente, o eletricista estava utilizando luva, o que possibilitou amenizar o corte sofrido.;BA;7;0;Sim;0;Ferramenta Manual;Baixo;11;Médio;4 - Eletricidade;Não
Quase Acidente;Transmissão;1 a 3 anos;Terça- feira;11;6;2024;09:00 - 10:00;O empregado terceirizado, ao se direcionar ao porão de cabos para realizar a atividade de lançamento de cabos, identificou a presença de duas cobras coral entre os cabos, não houve contato com os profissionais da empresa Siemens Energy, paralisado a atividade.;SE;;;;;Animal;;15;Baixo;Outros;Não
Típico sem afastamento;Transmissão;Até 6 meses;Quinta - feira;16;5;2024;12:00- 13:00; Dois empregados próprios, sendo B.S.P e A.R.L, estavam realizando atividade de Inspeção de Linhas Transmissão, quando trafegavam com a caminhonete L200 por uma estrada vicinal, próximo a 1 km da cidade de João Dourado-BA, o condutor B.S.P perdeu a direção do veículo, derrapando e vindo a capotar. Os empregados receberam ajuda de terceiros que passavam pelo local para retornar o veículo danificado à posição normal. Em seguida foram auxiliados por outra equipe de inspetores que retornavam de serviço na mesma linha de transmissão e foram conduzidos para avaliação médica na cidade de Irecê-BA.;BA;5;0;Sim;0;Carro - Capotamento;Médio;7;Alto;8 - Veículos e Equipamentos Móveis;Sim
Quase Acidente;Transmissão;6 meses a 1 ano;Domingo;7;4;2024;08:00 - 09:00;O empregado terceirizado, durante a atividade da troca do seccionador de 230 kV, 34S1-6, na SE-JZD, saiu do cesto da PTA e acessou o pórtico da estrutura sem utilizar a ancoragem corretamente. Tal prática é um descumprimento das regras de segurança presentes na NR-35 e normativos internos da Eletrobras Chesf. A atividade contava com o acompanhamento de fiscal e TST que ao perceberem que o funcionário estava se movimentando sem ancoragem, durante deslocamento entre PTA e pórtico, paralisaram de imediato os serviços.;BA;;;;;Outros;;4;Alto;3 - Trabalho em Altura;Sim
Típico com afastamento;Transmissão;6 meses a 1 ano;Terça- feira;10;9;2024;15:00 - 16:00;Ao movimentar uma tampa de canaleta, o colaborador teve a extremidade superior do dedo médio da mão esquerda atingido pela mesma;DF;4;0;Não;;Golpeado por (atingido por objeto em movimento);Médio;11;Médio;2 - Percepção de Risco;Não
Trajeto sem afastamento;Logistica;6 meses a 1 ano;Quinta - feira;28;8;2024;08:00 - 09:00;A empregada terceirizada, no deslocamento para o trabalho conduzindo uma motocicleta, foi atingida por outro motociclista ao entrar em uma rotatória. O motociclista invadiu a preferencial e colidiu com ela. Com o impacto, a empregada foi arremessada ao chão, fazendo com o que capacete saísse, vindo a bater a cabeça e sofrer escoriações nos membros inferiores.;PI;;;;;Moto - Colisão;Médio;5;Alto;8 - Veículos e Equipamentos Móveis;Sim
Típico sem afastamento;Geração - Hidráulica;Até 6 meses;Quarta - feira;22;5;2024;15:00 - 16:00;Por volta das 15h30m, no galpão se materiais do almoxarifado próximo a UFPA, durante a fixação da carga sobre caminhão guindauto/Munck, um dos colaboradores arremeçou a cinta de amarração sobre a carga atingindo um outro  colaborador, que estava do lado oposto, ferindo seu supercilio esquerdo, provocando ferimento leve. ;PA;;;;;Golpeado por (atingido por objeto em movimento);Baixo;15;Baixo;2 - Percepção de Risco;Não
Trajeto sem afastamento;Transmissão;6 meses a 1 ano;Quinta - feira;11;4;2024;07:00 - 08:00;Durante deslocamento de moto de casa para o trabalho, devido ao piso úmido e embarrado, colaborador caiu com sua moto.;SC;0;N/A;Não;N/A;Moto - Queda;Médio;11;Médio;8 - Veículos e Equipamentos Móveis;Não
Trajeto com afastamento;CSC;6 meses a 1 ano;Quinta - feira;20;2;2025;06:00 - 07:00;Empregado terceirizado estava a caminho da subestação quando um cachorro apareceu à sua frente, não dando tempo para frear. Ele acabou colidindo com o animal e sofrendo uma queda da moto.;MA;1;0;Não;0;Animal;Médio;10;Médio;8 - Veículos e Equipamentos Móveis;Não
Típico com afastamento;Transmissão;1 a 3 anos;Terça- feira;1;4;2025;11:00 - 12:00;Durante atividades em TLE para reconexão dos pulos no barramento principal de 69 KV, houve um curto-circuito vindo a gerar um arco elétrico, e um empregado terceirizado sentiu o efeito térmico do arco. Foi encaminhado para atendimento médico consciente e orientado.;CE;12;;;;Eletricidade;Médio;4;Alto;4 - Eletricidade;Sim
Quase Acidente;Geração - Hidráulica;6 meses a 1 ano;Sexta-feira;4;4;2025;11:00 - 12:00;"Colaborador terceirizado quando iria iniciar atividade de recuperação do rotor turbina, dentro da sucção da UG 01G4, escorregou na parte metálica e bateu o braço direito na turbina, tendo pequenos arranhões no braço.
";PE;;;;;Queda mesmo nível;;15;Baixo;2 - Percepção de Risco;Não
Trajeto com afastamento;CSC;1 a 3 anos;Quinta - feira;10;4;2025;17:00 - 18:00;"A empregada terceirizada conduzia sua motocicleta no trajeto de retorno para casa após o expediente, quando tentou desviar de um veículo que trafegava na contramão para evitar um buraco na via. Nesse momento, a motocicleta derrapou, causando sua queda. Um outro empregado, que também pilotava uma motocicleta e seguia logo atrás, não conseguiu evitar a colisão, atingiu a moto caída e também sofreu uma queda.  
";BA;2;;;;Moto - Queda;Médio;10;Médio;8 - Veículos e Equipamentos Móveis;Não
Típico com afastamento;CSC;Até 6 meses;Quinta - feira;24;4;2025;14:00 - 15:00;O empregado terceirizado estava executando atividade de demolição de uma parede. Após golpear a estrutura com uma marreta, tentou puxar manualmente parte da parede, momento em que sua mão ficou presa em um perfil metálico. Apesar do uso de luvas pigmentadas, houve impacto direto da mão contra o perfil, resultando em lesão.;PE;15;;;;Outros;Médio;11;Médio;2 - Percepção de Risco;Não
Típico sem afastamento;CSC;3 a 6 anos;Segunda - feira;5;5;2025;08:00 - 09:00;Colaborador atingido por uma pedra na região da cabeça durante a execução de atividades com a máquina roçadeira;SP;N/A;N/A;;N/A;Golpeado por (atingido por objeto em movimento);Baixo;11;Médio;2 - Percepção de Risco;Não
Trajeto com afastamento;Transmissão;Até 6 meses;Domingo;7;5;2025;11:00 - 12:00;Durante o deslocamento da equipe terceirizada que realizava serviços de supressão vegetal (roço) no trajeto entre os municípios de Jaru/RO e Ouro Preto do Oeste/RO, o motorista da empresa terceirizada RBS relatou que um veículo invadiu a contramão e para evitar uma colisão frontal, ele desviou o carro para fora da pista e vindo a capotar o veículo.;RO;60;25;Não;0;Veículo rodoviário motorizado;Médio;5;Alto;8 - Veículos e Equipamentos Móveis;Sim
Desvio Crítico;Geração - Hidráulica;1 a 3 anos;Sexta-feira;31;1;2025;16:00 - 17:00;Veículo foi entregue ao usuário e utilizado com trinco no para-brisa;MG;N/A;N/A;;N/A;;;16;Baixo;8 - Veículos e Equipamentos Móveis;Não
Quase Acidente;Transmissão;1 a 3 anos;Sábado;6;9;2025;07:00 - 08:00;Durante deslocamento, ao desviar de uma revoada de pássaros, o profissional perdeu o controle do veículo e caiu em um talude.;RS;NA;NA;Não;NA;NA;;11;Médio;8 - Veículos e Equipamentos Móveis;Não
Quase Acidente;CSC;Até 6 meses;Sexta-feira;26;9;2025;15:00 - 16:00;Durante a atividade de organização dos cilindros no galpão do almoxarifado, os colaboradores foram surpreendidos com o vazamento de gás de um cilindro.;MA;0;0;Não;0;;;11;Médio;10 - Produtos Químicos Perigosos;Não
Típico com afastamento;CSC;Até 6 meses;Terça - feira;23;9;2025;11:00 - 12:00;Durante corte de vegetação e retirada dos detritos da crista do paredão do vertedouro da usina, o colaborador se desequilibrou e caiu de aproximadamente 2,5 metros de altura, sendo projetado verticalmente até o chão (piso liso de concreto);SP;4;0;Não;;;Médio;5;Alto;3 - Trabalho em Altura;Sim
Típico sem afastamento;CSC;Até 6 meses;Sexta - feira;3;10;2025;09:00 - 10:00;O colaborador retirou a luva, pois a mesma havia colado no dedo congelada, e percebeu que estava com uma ardencia. O colaborador não quis ir para o ambulatório já que se tratava de algo leve. Parou suas atividades no dia.;PR;NA ;NA;Não;NA; Tubo sob pressão (mangueira ou tubo para liquido, gás ou vapor);Baixo;15;Baixo;11 - Não se Aplica;Não
Trajeto com afastamento;CSC;Até 6 meses;Quarta-feira;8;10;2025;07:00 - 08:00;Colaboradora se deslocava de moto, no sentido de casa para trabalho, chegando nas proximidades da rotatória do CSC, um veículo que fazia o mesmo sentido parou bruscamente, ocasionando uma colisão na parte traseira do referido.;PA;;;;;;Médio;10;Médio;8 - Veículos e Equipamentos Móveis;Não
Quase Acidente;Expansão - Proj. Estrat.;6 meses a 1 ano;Terça- feira;1;10;2025;06:00 - 07:00;Colaborador conduzia veículo da empresa sentido SE Ibiúna quando ao parar na rotatória teve o veículo colidido na traseira.;SP;-;-;Não;-;Carro - Colisão ;NA;14;Baixo;8 - Veículos e Equipamentos Móveis;Não
Quase Acidente;Expansão - Proj. Estrat.;6 meses a 1 ano;Sexta-feira;10;10;2025;10:00 - 11:00;Durante  atividade de supressão vegetal, ao realizar o corte da árvore, durante a queda a árvore desviou a direção, devido estar com a galhada presa em outra árvore, ao mudar a projeção de queda veio a atingir levemente com os galhos na perna direita do trabalhador.;MG;-;-;Não;-;Ferramenta Manual;Baixo;7;Alto;2 - Percepção de Risco;Sim
Quase Acidente;Geração - Hidráulica;Até 6 meses;Domingo;26;9;2025;09:00 - 10:00;Ao utilizar o corrimão da escadaria do hall de entrada, foi surpreendido por uma ferroada de marimbondo no pulso da mão esquerda;MG;N/A;N/A;;N/A;;;14;Baixo;2 - Percepção de Risco;Não
Típico com afastamento;Transmissão;Até 6 meses;Sábado;1;2;2020;14:00 - 15:00;Por volta das 14:15 do dia 01/02/2020, o colaborador estava ajudando na escavação de tubulações, descendo no buraco e retirando terra, o buraco tinha 1 1/2 de comprimento quando o colaborador foi descer na escada, a mesma quebrou ocasionando uma pancada no joelho esquerdo.;PR;0;0;Não;0;Eletricidade;Médio;14;Médio;4 - Eletricidade;Não
Típico com afastamento;Transmissão;6 a 10 anos;Quinta - feira;1;4;2021;10:00 - 11:00;Fratura do antebraço por queda de escada na SE Mirueira.;PE;14;0;Não;;Escada - Queda;Médio;13;Médio;8 - Veículos e Equipamentos Móveis;Não
Típico com afastamento;Transmissão;;Quinta - feira;17;11;2022;12:00- 13:00;Distensão muscular nas costas por escorregão em piso.;BA;2;0;Não;;Escorregou/Desequilibrou;Baixo;13;Médio;8 - Veículos e Equipamentos Móveis;Não
Quase Acidente;Transmissão;Até 6 meses;Sábado;11;11;2023;15:00 - 16:00;"No dia 11/11/2023, durante a conferência do torqueamento nas conexões dos cabos de alumínio na nova SE Abaiara, ao efetuar a verificação no conector paralelo de descida para o PR 74L2 (bay da nova LT 04L2 ABA_MLG) o cabo se soltou (por volta das 15h), e tendo em vista que o aterramento temporário estava instalado no PR 74L2, os profissionais relataram à percepção de indução (Descarga parcial). Os 2 profissionais foram prontamente atendidos pela equipe de Saúde Ocupacional da LightSource, em seguida foram encaminhados para o Hospital de Brejo Santo para observação, conforme procedimento padrão para ocorrências envolvendo atividades com eletricidade. Importante ressaltar que a Linha ""BNO-MLG"" está DESENERGIZADA E ATERRADA. ";CE;;0;Não;0;Eletricidade;Baixo;14;Baixo;4 - Eletricidade;Não
Típico com afastamento;Geração - Hidráulica;Até 6 meses;Quarta - feira;28;6;2023;17:00 - 18:00;Roçador estava capinando nas proximidades da Portaria principal, que dá acesso a vila de Balbina, quando uma pedra da sua própria roçadeira, atingiu sua boca entrando pela parte de baixo da viseira, fazendo um corte nos lábios, superior e inferior.;AM;3;0;Não;0;Golpeado por (atingido por objeto em movimento);Baixo;14;Baixo;2 - Percepção de Risco;Não
Típico com afastamento;Geração - Eólica;1 a 3 anos;Segunda - feira;24;4;2023;09:00 - 10:00;Ao Chegar Na Frente De Servico E Descer Do Veiculo, O Colaborador Pisou Em Uma Pedra E Torceu O Pe.;RS;98;0;;98;Queda mesmo nível;Médio;13;Médio;11 - Não se Aplica;Não
Típico sem afastamento;Geração - Hidráulica;6 meses a 1 ano;Quarta - feira;2;8;2023;07:00 - 08:00;Profissional da área de manutenção mecânica, ao deslocar-se ao banheiro utilizando acesso inadequado, esbarrou em um tambor cortado que encontrava-se na baia de residuos, tendo sofrido corte superficial no joelho.;RS;0;;;;Atingido por (pontos agudos ou cortantes);Baixo;15;Baixo;2 - Percepção de Risco;Não
Quase Acidente;Expansão;Até 6 meses;Quarta - feira;6;9;2023;10:00 - 11:00;Trabalhador efetuava corte de uma corda presa a um canaflex utilizando uma pequena faca do tipo serra, no canteiro de obras, quando acabou passando a faca sobre a mão , causando uma pequena escoriação.;RS;N/A;-;Não;;Atingido por (pontos agudos ou cortantes);;15;Baixo;2 - Percepção de Risco;Não
Quase Acidente;Expansão;6 meses a 1 ano;Terça- feira;17;10;2023;07:00 - 08:00;Durante transporte de material tipo backfill utilizando caminhão caçamba da empresa GEL Engenharia, no trajeto da jazida Santa Rosa até as frentes de escavação, o motorista M.D.G.T. perdeu o controle do equipamento, saiu da pista e tombou lateralmente ao atingir a vala de drenagem. O fato se deu no acesso externo à obra. Não foram evidenciadas lesões no motorista, somente dano material no equipamento.;RS;N/A;;;;Outros;;11;Médio;8 - Veículos e Equipamentos Móveis;Não
Típico com afastamento;Geração - Hidráulica;6 meses a 1 ano;Terça- feira;12;12;2023;13:00 - 14:00;O empregado terceirizado ao realizar atividade de manutenção da ponte rolante n°2 (40T) existente dentro da casa de máquinas na Usina de Sobradinho, sentado próximo ao compartimento das escovas, passando ferramentas para os colegas abaixo, quando ao terminar a atividade e levantar-se, sentiu um desconforto na região lombar.;BA;1;0;Não;0;Outros;Baixo;14;Baixo;11 - Não se Aplica;Não
Típico sem afastamento;CSC;Até 6 meses;Quinta - feira;17;7;2024;12:00- 13:00;Ao sair da sala de Engenharia Mecânica localizada no Bloco A, o colaborador sofreu uma batida contra atingindo a cabeça na porta divisória que se encontrava aberta ocasionando um corte leve na parte frontal/ lateral da cabeça.;PA;;;;;Atingido por (pontos agudos ou cortantes);Baixo;11;Médio;2 - Percepção de Risco;Não
Típico com afastamento;Transmissão;Até 6 meses;Segunda - feira;29;1;2024;11:00 - 12:00;Durante serviços de supressão vegetal os colaboradores foram atacados por um enxame de abelhas (1º acidentado);MG;1;0;Não;;Animal;Médio;10;Médio;11 - Não se Aplica;Não
Típico com afastamento;Geração - Hidráulica;Até 6 meses;Quinta - feira;15;2;2024;10:00 - 11:00;Trabalhador ao entrar no recinto de animais silvestres, foi mordido por um porco na perna direita;AM;2;0;Não;0;Animal;Médio;11;Médio;2 - Percepção de Risco;Não
Típico sem afastamento;Expansão;Até 6 meses;Segunda - feira;5;2;2024;11:00 - 12:00;O funcionario estava realizando a organização de linha de vida provisoria em cima de paletes de madeira no almoxarifado, quando não percebeu um palete no chão com prego virado de ponta e pisou em cima.;RS;0;N/A;Não;N/A;Outros;Baixo;15;Baixo;2 - Percepção de Risco;Não
Típico com afastamento;Expansão;6 meses a 1 ano;Quinta - feira;25;3;2024;18:00 - 19:00 ;Segundo relato do líder, o colaborador estava acessando o T-7 da torre, quando ao subir em uma escada fixa portando ferramentas manuais, escorregou e caiu sobre a plataforma, de uma altura aproximada de 0,80m. O impacto gerou torção em seu tornozelo direito;RS;6;Não;Não;N/A;Escada - Queda;Médio;11;Médio;2 - Percepção de Risco;Não
Típico sem afastamento;Expansão;6 meses a 1 ano;Sexta-feira;18;10;2024;07:00 - 08:00;Durante a realização da lavagem de louças no refeitório da Empresa Ninos Alimentos, localizado em Coxilha Negra, a profissional sofreu um corte no dedo indicador direito ao quebrar um copo.;RS;-;-;Não;-;Atingido por (pontos agudos ou cortantes);Baixo;10;Médio;6 - Linha de Perigo;Não
Quase Acidente;Expansão;1 a 3 anos;Sexta-feira;1;11;2024;15:00 - 16:00;Durante a execução de atividades de injeção de impermeabilizante nos aerogeradores, colaborador da empresa Calter, ao concluir a tarefa, foi realizar o registro fotográfico do trabalho realizado. Nesse momento, a mangueira de injeção rompeu parcialmente, jateando calda de cimento que acabou atingiu seu rosto. É importante ressaltar que o colaborador utilizava óculos de proteção durante a atividade.;RS;-;-;Não;-;Atingido por (pontos agudos ou cortantes);Baixo;11;Médio;6 - Linha de Perigo;Não
Quase Acidente;Expansão;Até 6 meses;Quarta - feira;6;3;2024;18:00 - 19:00 ;Segundo o relato do colaborador GHO, assistente administrativo, alojado no quarto 02G, ele estava no banho por volta das 18:35h, quando de repente houve um curto-circuito nas instalações elétricas do chuveiro, ocasionando um princípio de incêndio. As chamas atingiram o forro do banheiro.;RS;N/A;Não;Não;N/A;N/A;;15;Baixo;11 - Não se Aplica;Não
Quase Acidente;Transmissão;6 meses a 1 ano;Sexta-feira;29;11;2024;15:00 - 16:00;Colaborador passou direto por uma rotatória, tombando o veículo ao colidir com a estrutura. Não houve lesão;SC;N/A;N/A;N/A;N/A;N/A;Médio;10;Médio;8 - Veículos e Equipamentos Móveis;Não
Típico sem afastamento;Transmissão;6 meses a 1 ano;Terça- feira;21;1;2025;12:00- 13:00;Descrição: Durante a realização de teste de relé em bancada, o empregado utilizava uma chave de fenda para apertar uma ponte de diodos. Durante a execução da atividade, a ferramenta escapou, ocasionando um corte leve na região entre dois dedos da mão.;AC;0;0;Não;0;Ferramenta Manual;Baixo;15;Baixo;2 - Percepção de Risco;Não
Típico sem afastamento;CSC;1 a 3 anos;Terça- feira;21;1;2025;13:00 - 14:00;Durante a realização da atividade de movimentação de peças de torre no pátio da Subestação Rio Branco, o colaborador A.V.S sofreu um incidente que resultou em uma prensa no dedo médio da mão esquerda.;AC;0;0;Não;0;Ferramenta Manual;Baixo;13;Médio;2 - Percepção de Risco;Não
Quase Acidente;Geração - Hidráulica;Até 6 meses;Segunda - feira;24;2;2025;07:00 - 08:00;O colaborador estava se deslocando para a Usina quando o pneu de sua moto derrapou em uma curva proximo da rotatória sentido a eclusa onde ocorreu a queda.;PA;0;0;;;Moto - Queda;;10;Médio;8 - Veículos e Equipamentos Móveis;Não
Típico sem afastamento;Expansão;6 meses a 1 ano;Quinta - feira;27;2;2025;12:00 - 13:00;O Colaborador (A.N.Q) estava realizando a  atividade de colocação das tampas de canaleta reforçada 15R-2, no momento em que ajudava a posicionar uma das tampas, soltou de forma brusca, caindo sobre seu dedo.;SP;-;-;Não;-;;Baixo;14;Baixo;2 - Percepção de Risco;Não
Típico com afastamento;Geração - Hidráulica;Até 6 meses;Quinta - feira;3;4;2025;09:00 - 10:00;Durante desmontagem do trocador de calor da UG03, a chave combinada escapou e feriu a palma da mão;MG;7;0;Não;;Ferramenta Manual;Baixo;11;Médio;2 - Percepção de Risco;Não
Trajeto com afastamento;Transmissão;6 meses a 1 ano;Sexta-feira;2;5;2025;12:00- 13:00; A empregada própria estava se deslocando para casa, após turno laborado das 06:00 às 12:15, quando ocorreu uma colisão entre a moto que ela estava na garupa e outra moto, ocasionando a sua queda.;PE;10;;;;Queda com diferença de nível;Médio;11;Médio;8 - Veículos e Equipamentos Móveis;Não
Típico com afastamento;Transmissão;6 meses a 1 ano;Terça- feira;13;5;2025;09:00 - 10:00;Nas atividades de construção da passagem molhada na Estrutura LT RIB/RCD 04M1 Est. 047/1, ao deslocar-se para beber água, não percebeu que a retroescavadeira fazia a manobra para estacionar defronte à betoneira, ocasionando um choque da lança da escavadeira com o profissional.;PE;10;;;;Golpeado por (atingido por objeto em movimento);Baixo;14;Baixo;8 - Veículos e Equipamentos Móveis;Não
Típico sem afastamento;CSC;Até 6 meses;Quarta - feira;11;6;2025;10:00 - 11:00;Durante atividade de roçagem, profissional pisou em um prego, provocando perfuração superficial no pe.;PR;;NA;Não;NA;Metal;Baixo;11;Médio;2 - Percepção de risco;Não
Trajeto com afastamento;Transmissão;1 a 3 anos;Sexta-feira;20;6;2025;07:00 - 08:00;Ao atravessar a faixa de pedestres foi atingido por um veículo, sendo atingido no quadril direito, batendo a cabeça e o rosto e cortando o lábio superior;DF;5;0;Não;;Carro - Atropelamento;Baixo;4;Alto;8 - Veículos e Equipamentos Móveis;Sim
Quase Acidente;CSC;1 a 3 anos;Domingo;3;8;2025;07:00 - 08:00;Durante o trajeto de retorno para casa, uma equipe de trabalhadores terceiros sofreu um acidente na BR-101, em condições de chuva leve. O veículo mesmo sendo conduzido dentro do limite de velocidade da via, colidiu com um sinalizador vertical mal posicionado que invadia parcialmente a pista. Ao tentar desviar, os pneus do lado direito tocaram o obstáculo, comprometendo a estabilidade do veículo. Apesar da dificuldade e da presença de uma carreta atrás, o motorista conseguiu evitar um acidente mais grave. O carro ainda atingiu outros cinco sinalizadores, mas não houve feridos apenas danos materiais. ;PB;;;;;Carro - Colisão ;;13;Médio;8 - Veículos e Equipamentos Móveis;Não
Típico com afastamento;CSC;Até 6 meses;Segunda - feira;8;9;2025;13:00 - 14:00;O colaborador terceirizado deslocava-se em direção ao ponto de hidratação quando pisou em uma pequena vala da escavação que estava sendo preparada para a instalação do aterramento e da torre d’água do Anexo V. Nesse momento, sofreu uma torção no tornozelo esquerdo, apresentando dor imediata.;PE;3;;;;Queda mesmo nível;Médio;10;Médio;2 - Percepção de Risco;Não
Típico com afastamento;CSC;Até 6 meses;Segunda - feira;22;10;2025;13:00 - 14:00;O empregado terceirizado estava organizando peças de andaimes em um galpão destinado ao armazenamento. Durante o deslocamento pelo ambiente, pisou sobre uma madeira com pregos, resultando na perfuração de sua botina e atingindo o pé esquerdo. ;PE;2;;;;Outros;Médio;10;Médio;2 - Percepção de Risco;Não
Típico com afastamento;Transmissão;Até 6 meses;Quinta - feira;13;11;2025;10:00 - 11:00;Durante conexão de tubulação em uma valeta escavada para instalação de rede pluvial, um bloco de terra se soltou atingindo o braço do colaborador causando lesão.;SC;3;NA;Não;NA;Agente do acidente, NIC;Médio;11;Médio;6 - Linha de Perigo;Não
Típico com afastamento;Transmissão;6 a 10 anos;Segunda - feira;17;8;2020;12:00- 13:00;Queda de moto ao realizar serviço para a empresa.;BA;1;0;Não;;Carro - Colisão ;Médio;4;Alto;8 - Veículos e Equipamentos Móveis;Sim
Típico com afastamento;Expansão;Até 6 meses;Quinta - feira;18;2;2021;11:00 - 12:00;Aprisionamento em, sobre ou entre objeto parado. ;PR;30;0;Não;0;Moto - Queda;Médio;13;Médio;8 - Veículos e Equipamentos Móveis;Não
Típico com afastamento;Geração - Térmica;Até 6 meses;Sexta-feira;10;3;2023;09:00 - 10:00;Impacto sofrido por pessoa de objeto que cai. ;RS;3;0;Não;0;Carro - Colisão ;Médio;11;Médio;8 - Veículos e Equipamentos Móveis;Não
Trajeto com afastamento;Adm;1 a 3 anos;Terça- feira;22;8;2023;18:00 - 19:00 ;Após troca de turno e durante retorno a sua residência, a empregada terceirizada trafegava em uma via de terra batida quando ao passar por cima de um galho caído, sofreu derrapagem da moto e vindo a cair.;MT;4;0;Não;0;Moto - Queda;Baixo;11;Médio;8 - Veículos e Equipamentos Móveis;Não
Trajeto com afastamento;CSC;6 meses a 1 ano;Terça- feira;25;4;2023;15:00 - 16:00;Veículo colidiu com outro veículo;MA;6;0;Não;0;Carro - Colisão ;Médio;14;Baixo;8 - Veículos e Equipamentos Móveis;Não
Trajeto com afastamento;CSC;6 meses a 1 ano;Terça- feira;25;4;2023;15:00 - 16:00;Veículo colidiu com outro veículo;MA;4;0;Não;0;Carro - Colisão ;Médio;14;Baixo;8 - Veículos e Equipamentos Móveis;Não
Quase Acidente;Expansão;Até 6 meses;Quinta - feira;26;10;2023;11:00 - 12:00;Durante atividade de compactação de solo utilizando compactador manual (sapo) na sala de comando da SE LIV 3. o profissional J.S. pedreiro, deixou o equipamento bater contra a parede oportunidade na qual este ricocheteou e acertou o pé esquerdo do operador, causando uma pequena escoriação. Logo após o ocorrido o colaborador foi atendido de imediato e liberado para retorno ao trabalho.;RS;N/A;;;;Golpeado por (atingido por objeto em movimento);Baixo;15;Baixo;8 - Veículos e Equipamentos Móveis;Não
Típico com afastamento;Expansão;Até 6 meses;Quarta - feira;6;12;2023;08:00 - 09:00;O empregado terceirizado estava fazendo a desmontagem da base da chave polo 230 kV, que já havia sido retirada e estava disposta no pátio do lado de fora da área britada da Subestação. Em determinado momento, após retirar alguns parafusos, o equipamento veio a girar e pressionar a sua perna. Ao tentar retirar o membro que estava preso veio a sofrer a lesão (corte) na coxa direita.;CE;7;0;Não;0;Atingido por (pontos agudos ou cortantes);Médio;11;Médio;2 - Percepção de Risco;Não
Quase Acidente;Logistica;1 a 3 anos;Quarta - feira;18;9;2024;15:00 - 16:00;O colaborador terceirizado estava realizando uma atividade de anotação e movimentação das estruturas metálicas no pátio. Ao passar próximo às estruturas armazenadas, ele bateu com o pé direito na ponta de uma peça de metal, o que resultou no rasgo de sua perneira e, consequentemente, de sua botina. Não houve contato direto com o pé, e nenhuma lesão foi registrada.;PE;;;;;Impacto de pessoa contra objeto parado;;15;Baixo;Outros;Não
Típico sem afastamento;Transmissão;6 meses a 1 ano;Segunda - feira;19;8;2024;15:00 - 16:00;Durante retirada de ninhos na LT, o colaborador foi atacado por um enxame de abelhas (acidentado 2);DF;N/A;N/A;Não;N/A;Animal;Baixo;11;Médio;2 - Percepção de Risco;Não
Típico sem afastamento;CSC;Até 6 meses;Sexta-feira;2;8;2024;09:00 - 10:00;Ao realizar corte de galhos em serviço de jardinagem,  o colaborador foi surpreendido por picada de marimbondo no dedo indicador da mão direta.;PA;;;;;Animal;Baixo;11;Médio;2 - Percepção de Risco;Não
Típico sem afastamento;Transmissão;Até 6 meses;Segunda - feira;29;1;2024;10:00 - 11:00;Funcionario estava em solo ajustando uma peça da torre pré montada. A peça estava fixada somente com um parafuso na parte superior para não se desprender da estrutura e no momento do ajuste da parte inferior o parafuso se desprendeu da peça, devido a trepidação, vindo atingir seu labio superior. O parafuso caiu de uma altura de aproximadamente de 3m. ;RS;0;Não;Não;N/A;303010900 - Ferramenta manual sem força motriz, NIC;Baixo;11;Médio;2 - Percepção de Risco;Não
Trajeto com afastamento;Expansão;Até 6 meses;Quarta - feira;4;6;2024;08:00 - 09:00;O colaborador deslocava-se para o trabalho conduzindo sua motocicleta quando ao realizar uma curva, derrapou e, na tentativa de evitar a queda, apoiou sua perna esquerda no solo ocasionando fratura na mesma.;SP;30;-;Não;;Moto - Queda;Médio;7;Alto;8 - Veículos e Equipamentos Móveis;Sim
